report_id,timestamp,area,category,description,priority,status
CP1090,2026-06-15 16:17,Katargam,Traffic & Mobility,"Public park in Katargam needs maintenance, broken benches",Low,Resolved
CP1141,2026-06-15 18:17,Piplod,Water Supply,Garbage not collected for 3 days in Piplod,Low,Resolved
CP1032,2026-06-15 22:17,Vesu,Waste Management,Garbage not collected for 3 days in Vesu,Medium,Open
CP1099,2026-06-15 23:17,Katargam,Waste Management,Open manhole is a safety hazard in Katargam,Medium,Open
CP1055,2026-06-16 03:17,Vesu,Street Lighting,Garbage not collected for 3 days in Vesu,Medium,In Progress
CP1175,2026-06-16 04:17,Piplod,Parks & Environment,Illegal dumping of waste near the drainage in Piplod,High,Open
CP1194,2026-06-16 11:17,Vesu,Noise/Nuisance,Garbage not collected for 3 days in Vesu,Low,Open
CP1015,2026-06-17 02:17,Vesu,Street Lighting,Open manhole is a safety hazard in Vesu,Medium,In Progress
CP1098,2026-06-17 05:17,Ghod Dod Road,Waste Management,Illegal dumping of waste near the drainage in Ghod Dod Road,High,Open
CP1127,2026-06-17 07:17,Katargam,Noise/Nuisance,Loud construction noise early morning disturbing residents in Katargam,Low,Open
CP1196,2026-06-17 07:17,Katargam,Waste Management,"Public park in Katargam needs maintenance, broken benches",Medium,In Progress
CP1185,2026-06-17 19:17,Piplod,Parks & Environment,Open manhole is a safety hazard in Piplod,Low,Open
CP1027,2026-06-18 00:17,Piplod,Public Safety,"Public park in Piplod needs maintenance, broken benches",Critical,In Progress
CP1078,2026-06-18 03:17,Ghod Dod Road,Noise/Nuisance,Open manhole is a safety hazard in Ghod Dod Road,Critical,In Progress
CP1219,2026-06-18 04:17,City Light,Traffic & Mobility,Heavy traffic congestion during peak hours in City Light,Low,Open
CP1218,2026-06-18 05:17,Vesu,Noise/Nuisance,Loud construction noise early morning disturbing residents in Vesu,High,Resolved
CP1077,2026-06-18 12:17,Varachha,Roads & Potholes,Open manhole is a safety hazard in Varachha,Low,Resolved
CP1157,2026-06-18 17:17,Katargam,Noise/Nuisance,Reports of unsafe stray dog activity near school in Katargam,Medium,Resolved
CP1174,2026-06-18 19:17,Adajan,Waste Management,"Streetlights not working, area is dark and unsafe at night in Adajan",High,Open
CP1190,2026-06-19 00:17,Piplod,Traffic & Mobility,"Public park in Piplod needs maintenance, broken benches",Critical,In Progress
CP1156,2026-06-19 04:17,Piplod,Street Lighting,Loud construction noise early morning disturbing residents in Piplod,Critical,Open
CP1115,2026-06-19 11:17,Varachha,Noise/Nuisance,Heavy traffic congestion during peak hours in Varachha,Low,Open
CP1187,2026-06-19 20:17,Ghod Dod Road,Public Safety,Loud construction noise early morning disturbing residents in Ghod Dod Road,Medium,Open
CP1031,2026-06-19 21:17,City Light,Water Supply,Illegal dumping of waste near the drainage in City Light,Medium,Open
CP1079,2026-06-19 22:17,Ghod Dod Road,Parks & Environment,Open manhole is a safety hazard in Ghod Dod Road,Medium,Open
CP1139,2026-06-19 23:17,Piplod,Public Safety,Open manhole is a safety hazard in Piplod,High,In Progress
CP1129,2026-06-20 00:17,Adajan,Public Safety,Illegal dumping of waste near the drainage in Adajan,Low,Resolved
CP1106,2026-06-20 04:17,Piplod,Parks & Environment,Loud construction noise early morning disturbing residents in Piplod,Medium,Open
CP1016,2026-06-20 10:17,Varachha,Traffic & Mobility,"Streetlights not working, area is dark and unsafe at night in Varachha",Critical,Open
CP1024,2026-06-20 10:17,Adajan,Street Lighting,Illegal dumping of waste near the drainage in Adajan,Critical,Open
CP1030,2026-06-20 14:17,Adajan,Traffic & Mobility,Garbage not collected for 3 days in Adajan,Medium,Open
CP1205,2026-06-21 03:17,Ghod Dod Road,Roads & Potholes,Garbage not collected for 3 days in Ghod Dod Road,Low,In Progress
CP1197,2026-06-21 14:17,Adajan,Public Safety,Illegal dumping of waste near the drainage in Adajan,Low,Open
CP1215,2026-06-21 14:17,Katargam,Water Supply,Garbage not collected for 3 days in Katargam,Medium,Open
CP1166,2026-06-21 16:17,Vesu,Water Supply,Open manhole is a safety hazard in Vesu,High,Open
CP1040,2026-06-22 00:17,Piplod,Roads & Potholes,Heavy traffic congestion during peak hours in Piplod,Low,In Progress
CP1022,2026-06-22 08:17,City Light,Street Lighting,Water pipeline leakage flooding the street in City Light,Medium,Open
CP1018,2026-06-22 16:17,City Light,Waste Management,"Public park in City Light needs maintenance, broken benches",Medium,Resolved
CP1134,2026-06-22 19:17,Ghod Dod Road,Roads & Potholes,Open manhole is a safety hazard in Ghod Dod Road,Medium,Open
CP1118,2026-06-22 20:17,City Light,Parks & Environment,Illegal dumping of waste near the drainage in City Light,Medium,In Progress
CP1002,2026-06-23 21:17,City Light,Roads & Potholes,Open manhole is a safety hazard in City Light,Low,In Progress
CP1101,2026-06-23 23:17,Varachha,Water Supply,Open manhole is a safety hazard in Varachha,Critical,Open
CP1047,2026-06-24 06:17,Adajan,Street Lighting,Heavy traffic congestion during peak hours in Adajan,Low,In Progress
CP1110,2026-06-24 06:17,Katargam,Street Lighting,Garbage not collected for 3 days in Katargam,High,Open
CP1132,2026-06-24 09:17,Katargam,Parks & Environment,Loud construction noise early morning disturbing residents in Katargam,Low,Resolved
CP1053,2026-06-24 12:17,Adajan,Water Supply,Open manhole is a safety hazard in Adajan,Low,Open
CP1135,2026-06-24 12:17,City Light,Noise/Nuisance,Loud construction noise early morning disturbing residents in City Light,High,Open
CP1011,2026-06-24 15:17,Varachha,Parks & Environment,Reports of unsafe stray dog activity near school in Varachha,Critical,In Progress
CP1198,2026-06-24 19:17,Vesu,Noise/Nuisance,"Streetlights not working, area is dark and unsafe at night in Vesu",High,Open
CP1108,2026-06-25 00:17,Piplod,Street Lighting,Reports of unsafe stray dog activity near school in Piplod,Medium,Open
CP1195,2026-06-25 01:17,Piplod,Traffic & Mobility,Water pipeline leakage flooding the street in Piplod,Medium,In Progress
CP1199,2026-06-25 03:17,Adajan,Public Safety,Illegal dumping of waste near the drainage in Adajan,Low,In Progress
CP1093,2026-06-25 14:17,City Light,Water Supply,"Streetlights not working, area is dark and unsafe at night in City Light",Low,In Progress
CP1043,2026-06-26 00:17,City Light,Roads & Potholes,Illegal dumping of waste near the drainage in City Light,Low,In Progress
CP1128,2026-06-26 02:17,Katargam,Public Safety,Large pothole causing traffic slowdown near Katargam main road,Low,Resolved
CP1154,2026-06-26 05:17,Katargam,Traffic & Mobility,"Public park in Katargam needs maintenance, broken benches",Low,In Progress
CP1062,2026-06-26 16:17,Katargam,Roads & Potholes,Garbage not collected for 3 days in Katargam,High,Open
CP1158,2026-06-26 17:17,Piplod,Water Supply,Garbage not collected for 3 days in Piplod,Medium,Open
CP1111,2026-06-27 00:17,Vesu,Street Lighting,"Streetlights not working, area is dark and unsafe at night in Vesu",High,Open
CP1028,2026-06-27 01:17,Varachha,Waste Management,"Streetlights not working, area is dark and unsafe at night in Varachha",Low,Open
CP1189,2026-06-27 01:17,City Light,Water Supply,Garbage not collected for 3 days in City Light,Low,In Progress
CP1142,2026-06-27 02:17,Ghod Dod Road,Public Safety,Large pothole causing traffic slowdown near Ghod Dod Road main road,Low,Open
CP1096,2026-06-27 06:17,Piplod,Parks & Environment,"Public park in Piplod needs maintenance, broken benches",Critical,Open
CP1041,2026-06-27 10:17,Vesu,Roads & Potholes,Open manhole is a safety hazard in Vesu,Low,Open
CP1136,2026-06-27 15:17,Katargam,Noise/Nuisance,Loud construction noise early morning disturbing residents in Katargam,Low,Resolved
CP1140,2026-06-28 00:17,Vesu,Noise/Nuisance,Open manhole is a safety hazard in Vesu,Low,Open
CP1125,2026-06-28 07:17,Ghod Dod Road,Water Supply,Garbage not collected for 3 days in Ghod Dod Road,Low,Resolved
CP1066,2026-06-28 18:17,Katargam,Parks & Environment,Garbage not collected for 3 days in Katargam,Critical,Resolved
CP1087,2026-06-29 01:17,Katargam,Parks & Environment,Water pipeline leakage flooding the street in Katargam,High,Resolved
CP1171,2026-06-29 01:17,Varachha,Traffic & Mobility,Garbage not collected for 3 days in Varachha,Medium,In Progress
CP1080,2026-06-29 15:17,Katargam,Street Lighting,Reports of unsafe stray dog activity near school in Katargam,High,In Progress
CP1130,2026-06-29 23:17,Piplod,Noise/Nuisance,Reports of unsafe stray dog activity near school in Piplod,Low,In Progress
CP1149,2026-06-30 10:17,Adajan,Noise/Nuisance,Reports of unsafe stray dog activity near school in Adajan,Low,In Progress
CP1217,2026-06-30 10:17,Adajan,Water Supply,Reports of unsafe stray dog activity near school in Adajan,Low,In Progress
CP1146,2026-06-30 12:17,Varachha,Parks & Environment,"Public park in Varachha needs maintenance, broken benches",Critical,Resolved
CP1148,2026-06-30 12:17,Adajan,Noise/Nuisance,Large pothole causing traffic slowdown near Adajan main road,High,In Progress
CP1088,2026-06-30 21:17,Adajan,Parks & Environment,Illegal dumping of waste near the drainage in Adajan,Medium,Open
CP1191,2026-07-01 04:17,City Light,Parks & Environment,Garbage not collected for 3 days in City Light,High,Open
CP1065,2026-07-01 14:17,Varachha,Roads & Potholes,Open manhole is a safety hazard in Varachha,Critical,In Progress
CP1007,2026-07-01 15:17,Katargam,Traffic & Mobility,Illegal dumping of waste near the drainage in Katargam,Low,Open
CP1163,2026-07-02 05:17,Piplod,Street Lighting,Illegal dumping of waste near the drainage in Piplod,Low,Resolved
CP1057,2026-07-02 07:17,Adajan,Water Supply,Heavy traffic congestion during peak hours in Adajan,High,In Progress
CP1116,2026-07-02 09:17,Ghod Dod Road,Waste Management,"Public park in Ghod Dod Road needs maintenance, broken benches",Medium,In Progress
CP1017,2026-07-02 21:17,Ghod Dod Road,Roads & Potholes,Garbage not collected for 3 days in Ghod Dod Road,Low,Open
CP1061,2026-07-03 01:17,Ghod Dod Road,Waste Management,Reports of unsafe stray dog activity near school in Ghod Dod Road,Medium,In Progress
CP1097,2026-07-03 03:17,Ghod Dod Road,Street Lighting,Garbage not collected for 3 days in Ghod Dod Road,Medium,Open
CP1075,2026-07-03 08:17,Piplod,Parks & Environment,Loud construction noise early morning disturbing residents in Piplod,Medium,Open
CP1084,2026-07-03 08:17,Vesu,Parks & Environment,"Public park in Vesu needs maintenance, broken benches",Critical,In Progress
CP1026,2026-07-03 14:17,City Light,Parks & Environment,"Streetlights not working, area is dark and unsafe at night in City Light",Critical,Resolved
CP1144,2026-07-03 15:17,Ghod Dod Road,Parks & Environment,Loud construction noise early morning disturbing residents in Ghod Dod Road,Critical,Resolved
CP1160,2026-07-03 17:17,Adajan,Street Lighting,"Public park in Adajan needs maintenance, broken benches",Medium,In Progress
CP1172,2026-07-03 17:17,Katargam,Street Lighting,Garbage not collected for 3 days in Katargam,Medium,In Progress
CP1126,2026-07-03 20:17,Ghod Dod Road,Public Safety,Loud construction noise early morning disturbing residents in Ghod Dod Road,Low,In Progress
CP1076,2026-07-04 00:17,Ghod Dod Road,Waste Management,"Public park in Ghod Dod Road needs maintenance, broken benches",Low,Resolved
CP1094,2026-07-04 11:17,Varachha,Public Safety,Heavy traffic congestion during peak hours in Varachha,Low,In Progress
CP1152,2026-07-04 11:17,Piplod,Waste Management,"Public park in Piplod needs maintenance, broken benches",Critical,Resolved
CP1100,2026-07-04 12:17,Adajan,Parks & Environment,Heavy traffic congestion during peak hours in Adajan,Medium,Resolved
CP1013,2026-07-04 18:17,Katargam,Waste Management,"Streetlights not working, area is dark and unsafe at night in Katargam",Critical,In Progress
CP1150,2026-07-04 23:17,Ghod Dod Road,Traffic & Mobility,Open manhole is a safety hazard in Ghod Dod Road,Medium,Open
